Threads,Average Time (s)
0,1.84671
1,1.78075
2,0.909541
3,0.640093
4,0.464121
5,0.364785
6,0.301907
7,0.257818
8,0.232172
9,0.196621
10,0.183651
11,0.170959
12,0.166473
13,0.144297
14,0.130468
15,0.120553
16,0.111082
17,0.115493
18,0.0982864
19,0.0916797
20,0.10343
21,0.0833276
22,0.0802762
23,0.083529
24,0.0855499
25,0.111567
26,0.126588
27,0.125958
28,0.123568
29,0.119097
30,0.114155
31,0.114731
32,0.108787
33,0.105911
34,0.109418
35,0.102623
36,0.0963788
37,0.0992584
38,0.098786
39,0.0954892
40,0.0914023
41,0.0847349
42,0.092039
43,0.0807737
44,0.0885538
45,0.0830291
46,0.075528
47,0.0934371
48,0.0722421
49,0.0730868
50,0.0809987
51,0.0690224
52,0.0671888
53,0.0736784
54,0.0685867
55,0.0825814
56,0.10544
